db_n	db_fname	db_ftype	db_fqualifier	db_fx	dcm_tagname	dcm_formula	dcm_t	dcm_tag	ctn_tag	lkemod_tag	fmr_tag	hfm_tag	tomo_tag
1	repetition_time	REAL			DBRepetitionTime		n	FF00.0061	L.0018.0080	L.0018.0080	L.0018.0080	L.0018.0080	L.0018.0080
1	echo_time	REAL			DBEchoTime		n	FF00.0062	L.0018.0081	L.0018.0081	L.0018.0081	L.0018.0081	L.0018.0081
1	number_of_averages	INT			DBNumberOfAverages		n	FF00.0063	L.0018.0083	L.0018.0083	L.0018.0083	L.0018.0083	L.0018.0083
1	imaging_frequency	REAL			DBImagingFrequency		n	FF00.0064	L.0018.0084	L.0018.0084	L.0018.0084	L.0018.0084	L.0018.0084
1	magnetic_field_strength	REAL			DBMagneticFieldStrength		n	FF00.0065	L.0018.0087	L.0019.1209	L.0018.0087	L.0018.0087	
1	spacing_between_slices	REAL			DBSpacingBetweenSlices		n	FF00.1013	L.0018.0088	L.0019.1088	L.0018.0088	L.0018.0088	L.0019.1088
1	percent_sampling	REAL			DBPercentSampling		n	FF00.1021	L.0018.0093	L.0019.10D7	L.0018.0093	L.0018.0093	
1	protocol_name	CHAR(32)			DBProtocolName		t	FF00.0034	L.0018.1030	L.0018.1030	L.0018.1030	L.0018.1030	L.0018.1030
1	receiving_coil	CHAR(4)			DBReceivingCoil		t	FF00.1031	L.0018.1250	L.0018.1250	L.0018.1250	L.0018.1250	L.0018.1250
1	phase_encoding_direction	CHAR(8)			DBPhaseEncodingDirection		t	FF00.1022	L.0018.1312	L.0019.1312	L.0018.1312	L.0018.1312	
1	flip_angle	REAL			DBFlipAngle		n	FF00.1023	L.0018.1314	L.0019.101A	L.0018.1314	L.0018.1314	
1	acquisition_number	INT			DBAcquisitionNumber		n	FF00.0009	L.0020.0012	L.0020.0012	L.0020.0012	L.0020.0012	L.0020.0012
1	sub_series_number	INT			DBSubSeriesNumber		n	FF00.000A	L.2001.101D	L.0021.1000	L.2001.101D	L.2001.101D	
1	study_id	INT			DBStudyID		n	FF00.0002	L.0020.0010	L.0020.0010	L.0020.0010	L.0020.0010	L.0020.0010
1	rows	INT			DBRows		w	FF00.1001	L.0028.0010	L.0028.0010	L.0028.0010	L.0028.0010	L.0028.0010
1	columns	INT			DBColumns		w	FF00.1002	L.0028.0011	L.0028.0011	L.0028.0011	L.0028.0011	L.0028.0011
1	number_of_slices	INT			DBNumberOfSlices		n	FF00.1003	L.2001.1018	L.0019.100F	L.2001.1018	L.2001.1018	
1	number_of_temporal_positions	INT			DBNumberOfTemporalPositions		n	FF00.1004	L.0020.0105	L.0019.101B	L.0020.0105	L.0020.0105	
1	pixel_spacing_x	REAL			DBPixelSpacingX	!#PixelSpacing:;1:;2#!	n	FF00.1011	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA
1	pixel_spacing_y	REAL			DBPixelSpacingY	!#PixelSpacing:;1:;1#!	n	FF00.1012	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA
1	bits_allocated	INT			DBBitsAllocated		w	FF00.2001	L.0028.0100	L.0028.0100	L.0028.0100	L.0028.0100	L.0028.0100
1	bits_stored	INT			DBBitsStored		w	FF00.2002	L.0028.0101	L.0028.0101	L.0028.0101	L.0028.0101	L.0028.0101
0					IdentifyingGroupLength		l	0008.0000		0008.0000			
0					IdentifyingGroupLengthToEnd		l	0008.0001		0008.0001			
0					SpecificCharacterSet		t	0008.0005	0008.0005		0008.0005	0008.0005	
0					ImageType		t	0008.0008	0008.0008		0008.0008	0008.0008	
0					RecognitionCode		t	0008.0010		0008.0010			
0	instance_creation_date	CHAR(16)			InstanceCreationDate		d	0008.0012	0008.0012		0008.0012	0008.0012	
0	instance_creation_time	CHAR(16)			InstanceCreationTime		h	0008.0013	0008.0013		0008.0013	0008.0013	
0	instance_creator_uid	CHAR(64)			InstanceCreatorUID		t	0008.0014	0008.0014		0008.0014	0008.0014	
0	instance_sop_class_uid	CHAR(64)			SOPClassUID		t	0008.0016	0008.0016		0008.0016	0008.0016	
0	instance_sop_instance_uid	CHAR(64)			SOPInstanceUID		t	0008.0018	0008.0018		0008.0018	0008.0018	
0	study_date	CHAR(16)			StudyDate		d	0008.0020	0008.0020	0008.0020	0008.0020	0008.0020	
0	series_date	CHAR(16)			SeriesDate		d	0008.0021	0008.0021		0008.0021	0008.0021	
0					ImageDate		d	0008.0023	0008.0023	0008.0023	0008.0023	0008.0023	
0	study_time	CHAR(16)			StudyTime		h	0008.0030	0008.0030	0008.0030	0008.0030	0008.0030	
0	series_time	CHAR(16)			SeriesTime		h	0008.0031	0008.0031		0008.0031	0008.0031	
0					ImageTime		h	0008.0033	0008.0033	0008.0033	0008.0033	0008.0033	
0					OldDataSetType		w	0008.0040		0008.0040			
0					DataSetSubType		t	0008.0041		0008.0041			
0					AccessionNumber		t	0008.0050	0008.0050		0008.0050	0008.0050	
0	modality	CHAR(8)			Modality		t	0008.0060	0008.0060	0008.0060	0008.0060	0008.0060	
0	manufacturer	CHAR(32)			Manufacturer		t	0008.0070	0008.0070	0008.0070	0008.0070	0008.0070	
0	institution_name	CHAR(32)			InstitutionName		t	0008.0080	0008.0080	0008.0080	0008.0080	0008.0080	
0	referring_physicians_name	CHAR(32)			ReferringPhysiciansName		t	0008.0090	0008.0090	0008.0090	0008.0090	0008.0090	
0					StationName		t	0008.1010	0008.1010	0008.1010	0008.1010	0008.1010	
0	study_description	CHAR(32)			StudyDescription		t	0008.1030	0008.1030	0008.1030	0008.1030	0008.1030	
0	series_description	CHAR(32)			SeriesDescription		t	0008.103E	0008.103E		0008.103E	0008.103E	
0	manufacturer_model_name	CHAR(32)			ManufacturerModelName		t	0008.1090	0008.1090	0008.1090	0008.1090	0008.1090	
0					ReferencedImageSequence		r	0008.1140	0008.1140				
0					PrivateGroupLength		l	0009.0000		0009.0000			
0					CreatorRelease		t	0009.0010		0009.0010			
0					CreatorModelName		t	0009.0011		0009.0011			
0					CreatorModelPart		t	0009.0021		0009.0021			
0					CreatorModelUKa		t	0009.1008		0009.1008			
0					GyroNTInstanceUID		t	0009.1015		0009.1015			
0					CreatorModelUKb		t	0009.1110		0009.1110			
0					CreatorModelMaintDate		d	0009.1112		0009.1112			
0					CreatorModelUKc		w	0009.2110		0009.2110			
0					PatientGroupLength		l	0010.0000		0010.0000			
0	patient_name	CHAR(48)		sec_key	PatientName		t	0010.0010	0010.0010	0010.0010	0010.0010	0010.0010	
0	patient_id	CHAR(8)	NOT NULL	prim_key	PatientID		t	0010.0020	0010.0020	0010.0020	0010.0020	0010.0020	
0	patient_birthdate	CHAR(16)			PatientBirthdate		d	0010.0030	0010.0030	0010.0030	0010.0030	0010.0030	
0	patient_sex	CHAR(2)			PatientSex		c	0010.0040	0010.0040	0010.0040	0010.0040	0010.0040	
0	patient_weight	INT			PatientWeight		n	0010.1030	0010.1030	0010.1030	0010.1030	0010.1030	
					PatientPregnancyStatus		w	0010.21c0			0010.21c0		
0					PatientComments		t	0010.4000		0010.4000			
0					AcquisitionGroupLength		l	0018.0000		0018.0000			
0	scanning_sequence	CHAR(16)			ScanningSequence		t	0018.0020	0018.0020	0018.0020	0018.0020	0018.0020	
0	sequence_variant	CHAR(16)			SequenceVariant		t	0018.0021	0018.0021		0018.0021	0018.0021	
0	scan_options	CHAR(16)			ScanOptions		t	0018.0022	0018.0022		0018.0022	0018.0022	
0	mr_acquisition_type	CHAR(8)			MRAcquisitionType		t	0018.0023	0018.0023		0018.0023	0018.0023	
					SequenceName		t	0018.0024			0018.0024	0018.0024	
0	slice_thickness	REAL			SliceThickness		n	0018.0050	0018.0050	0018.0050	0018.0050	0018.0050	
0	repetition_time	REAL			RepetitionTime		n	0018.0080	0018.0080	0018.0080	0018.0080	0018.0080	
0	echo_time	REAL			EchoTime		n	0018.0081	0018.0081	0018.0081	0018.0081	0018.0081	
0	inversion_time	REAL			InversionTime		n	0018.0082		0018.0082			
0	number_of_averages	INT			NumberOfAverages		n	0018.0083	0018.0083	0018.0083	0018.0083	0018.0083	
0	imaging_frequency	REAL			ImagingFrequency		n	0018.0084	0018.0084	0018.0084	0018.0084	0018.0084	
0	imaged_nucleas	CHAR(8)			ImagedNucleus		t	0018.0085	0018.0085	0018.0085	0018.0085	0018.0085	
0	echo_numbers	INT			EchoNumbers		n	0018.0086	0018.0086		0018.0086	0018.0086	
0	magnetic_field_strength	REAL			MagneticFieldStrength		n	0018.0087	0018.0087		0018.0087	0018.0087	
0	spacing_between_slices	REAL			SpacingBetweenSlices		n	0018.0088	0018.0088		0018.0088	0018.0088	
0	number_of_phase_encoding_steps	INT			NumberOfPhaseEncodingSteps		n	0018.0089	0018.0089		0018.0089	0018.0089	
0	echo_train_length	INT			EchoTrainLength		n	0018.0091	0018.0091		0018.0091	0018.0091	
0	percent_sampling	REAL			PercentSampling		n	0018.0093	0018.0093		0018.0093	0018.0093	
0	percent_phase_field_of_view	REAL			PercentPhaseFieldOfView		n	0018.0094	0018.0094		0018.0094	0018.0094	
0	device_serial_number	CHAR(16)			DeviceSerialNumber		t	0018.1000	0018.1000	0018.1000	0018.1000	0018.1000	
0	software_version	CHAR(16)			SoftwareVersions		t	0018.1020	0018.1020	0018.1020	0018.1020	0018.1020	
0	protocol_name	CHAR(32)			ProtocolName		t	0018.1030	0018.1030	0018.1030	0018.1030	0018.1030	
0					LowRRValue		n	0018.1081	0018.1081		0018.1081	0018.1081	
0					HighRRValue		n	0018.1082	0018.1082		0018.1082	0018.1082	
0					IntervalsAcquired		n	0018.1083	0018.1083		0018.1083	0018.1083	
0					IntervalsRejected		n	0018.1084	0018.1084		0018.1084	0018.1084	
0	heart_rate	INT			HeartRate		n	0018.1088	0018.1088		0018.1088	0018.1088	
0					ReconstructionDiameter		n	0018.1100	0018.1100		0018.1100	0018.1100	
0	receiving_coil	CHAR(8)			ReceivingCoil		t	0018.1250	0018.1250	0018.1250	0018.1250	0018.1250	
0	transmitting_coil	CHAR(8)			TransmittingCoil		t	0018.1251	0018.1251	0018.1251	0018.1251	0018.1251	
					AcquisitionMatrix		a.w	0018.1310			0018.1310		
0	phase_encoding_direction	CHAR(8)			PhaseEncodingDirection		t	0018.1312	0018.1312				
0	flip_angle	REAL			FlipAngle		n	0018.1314	0018.1314				
0					AcquisitionComments		t	0018.4000		0018.4000			
0	patient_position	CHAR(8)			PatientPosition		t	0018.5100	0018.5100	0018.5100	0018.5100	0018.5100	
0					PrivateGroupALength		l	0019.0000		0019.0000			
0					PrivateCreatorName		t	0019.0010	0019.0010	0019.0010			
0					PrivateCreatorUKa		t	0019.0011		0019.0011			
0					PrivateCreatorUKb		t	0019.0012		0019.0012			
0					PrivateCreatorUKc		t	0019.0013		0019.0013			
0					PrivateCreatorUKd		t	0019.0015		0019.0015			
0					PrivateCreatorUKe		t	0019.0016		0019.0016			
0					PrivateCreatorUKf		t	0019.0040		0019.0040			
0					PrivateCreatorUKg		t	0019.0041		0019.0041			
0					UKDataZZAIAZZZ		a.n	0019.1000		0019.1000			
2					GyroNTImgXPosition		n	0019.1001		0019.1001			
2					GyroNTImgYPosition		n	0019.1002		0019.1002			
2					GyroNTImgZPosition		n	0019.1003		0019.1003			
2					GyroNTCCAngulation		n	0019.1005		0019.1005			
2					GyroNTAPAngulation		n	0019.1006		0019.1006			
2					GyroNTLRAngulation		n	0019.1007		0019.1007			
0					UKDataZZAIAZZH		n	0019.1008		0019.1008			
0					UKDataZZAIAZZI		n	0019.1009		0019.1009			
2					GyroNTSliceOrientation		n	0019.100A		0019.100A			
0					GyroNTSliceOrientationText	!['UNKNOWN','TRANSVERSAL','SAGITTAL','CORONAL']->[#GyroNTSliceOrientation:;0#]!	t	FF19.100A		L.FORMULA			
0					GyroNTNumberOfSlices		n	0019.100F		0019.100F			
0					UKDataZZAIAZAZ		n	0019.1010		0019.1010			
0					UKDataZZAIAZAD		t	0019.1014		0019.1014			
0					UKDataZZAIAZAE		n	0019.1015		0019.1015			
0					GyroNTFlipAnglePossA		n	0019.101A		0019.101A			
0					GyroNTNumberOfTemporalPositions		n	0019.101B		0019.101B			
0					GyroNTProtocolNameMajor		t	0019.101C		0019.101C			
0					UKDataZZAIAZAM		t	0019.101D		0019.101D			
0					UKDataZZAIAZAN		n	0019.101E		0019.101E			
0					GyroNTFlipAnglePossB		n	0019.101F		0019.101F			
0					GyroNTImageRelativeTime		n	0019.1022		0019.1022			
0					UKDataZZAIAZBD		n	0019.1024		0019.1024			
0					UKDataZZAIAZDZ		w	0019.1040		0019.1040			
0					UKDataZZAIAZEZ		n	0019.1050		0019.1050			
0					UKDataZZAIAZFG		n	0019.1067		0019.1067			
0					UKDataZZAIAZFI		n	0019.1069		0019.1069			
0					UKDataZZAIAZFJ		n	0019.106A		0019.106A			
0					UKDataZZAIAZFN		n	0019.106E		0019.106E			
0					UKDataZZAIAZGZ		a.n	0019.1070		0019.1070			
0					UKDataZZAIAZHZ		n	0019.1080		0019.1080			
0					UKDataZZAIAZHA		n	0019.1081		0019.1081			
0					GyroNTSpacingBetweenSlices		n	0019.1088		0019.1088			
0					UKDataZZAIAZHI		n	0019.1089		0019.1089			
0					UKDataZZAIAZHJ		c	0019.108A		0019.108A			
0					UKDataZZAIAZHK		c	0019.108B		0019.108B			
0					UKDataZZAIAZHL		c	0019.108C		0019.108C			
0					UKDataZZAIAZHM		c	0019.108D		0019.108D			
0					UKDataZZAIAZHN		c	0019.108E		0019.108E			
0					UKDataZZAIAZHO		c	0019.108F		0019.108F			
0					UKDataZZAIAZID		c	0019.1094		0019.1094			
0					UKDataZZAIAZIE		c	0019.1095		0019.1095			
0					UKDataZZAIAZIF		n	0019.1096		0019.1096			
0					UKDataZZAIAZIG		c	0019.1097		0019.1097			
0					UKDataZZAIAZII		x	0019.1099		0019.1099			
0					UKDataZZAIAZJZ		n	0019.10A0		0019.10A0			
0					UKDataZZAIAZJA		n	0019.10A1		0019.10A1			
0					UKDataZZAIAZJC		n	0019.10A3		0019.10A3			
0					UKDataZZAIAZKD		n	0019.10B4		0019.10B4			
0					UKDataZZAIAZKE		n	0019.10B5		0019.10B5			
0					UKDataZZAIAZKF		n	0019.10B6		0019.10B6			
0					UKDataZZAIAZLI		n	0019.10C9		0019.10C9			
0					UKDataZZAIAZLJ		n	0019.10CA		0019.10CA			
0					UKDataZZAIAZLK		n	0019.10CB		0019.10CB			
0					UKDataZZAIAZLL		n	0019.10CC		0019.10CC			
0					UKDataZZAIAZLO		n	0019.10CF		0019.10CF			
0					GyroNTMatrixDimsPoss		n	0019.10D0		0019.10D0			
0					UKDataZZAIAZMA		w	0019.10D1		0019.10D1			
0					UKDataZZAIAZMB		a.n	0019.10D2		0019.10D2			
0					UKDataZZAIAZMC		n	0019.10D3		0019.10D3			
0					UKDataZZAIAZME		n	0019.10D5		0019.10D5			
0					UKDataZZAIAZMF		n	0019.10D6		0019.10D6			
0					GyroNTPercentSampling		n	0019.10D7		0019.10D7			
0					UKDataZZAIAZMH		n	0019.10D8		0019.10D8			
0					UKDataZZAIAZMI		n	0019.10D9		0019.10D9			
0					UKDataZZAIAZMJ		n	0019.10DA		0019.10DA			
0					UKDataZZAIAZMK		n	0019.10DB		0019.10DB			
0					UKDataZZAIAZNZ		n	0019.10E0		0019.10E0			
0					UKDataZZAIAZNA		n	0019.10E1		0019.10E1			
0					UKDataZZAIAZOZ		n	0019.10F0		0019.10F0			
0					UKDataZZAIAZOF		c	0019.10F6		0019.10F6			
0					UKDataZZAIAZOG		c	0019.10F7		0019.10F7			
0					UKDataZZAIAZOH		c	0019.10F8		0019.10F8			
0					UKDataZZAIAZOI		c	0019.10F9		0019.10F9			
0					UKDataZZAIAZOJ		c	0019.10FA		0019.10FA			
0					UKDataZZAIAZOK		c	0019.10FB		0019.10FB			
0					UKDataZZAIAZOL		c	0019.10FC		0019.10FC			
0					UKDataZZAIAZOM		w	0019.10FD		0019.10FD			
0					UKDataZZAIAZON		c	0019.10FE		0019.10FE			
0					UKDataZZAIAAZZ		n	0019.1100		0019.1100			
0					UKDataZZAIAAZA		a.n	0019.1101		0019.1101			
0					UKDataZZAIAAZB		a.n	0019.1102		0019.1102			
0					UKDataZZAIAAZK		n	0019.110B		0019.110B			
0					UKDataZZAIAAZL		n	0019.110C		0019.110C			
0					UKDataZZAIAAZM		n	0019.110D		0019.110D			
0					UKDataZZAIAABA		n	0019.1121		0019.1121			
0					UKDataZZAIAABC		a.n	0019.1123		0019.1123			
0					UKDataZZAIAABD		a.n	0019.1124		0019.1124			
0					UKDataZZAIAABE		a.n	0019.1125		0019.1125			
0					UKDataZZAIAABF		a.n	0019.1126		0019.1126			
0					UKDataZZAIAABG		a.n	0019.1127		0019.1127			
0					UKDataZZAIAABH		a.c	0019.1128		0019.1128			
0					UKDataZZAIAABI		a.n	0019.1129		0019.1129			
0					UKDataZZAIAACZ		a.t	0019.1130		0019.1130			
0					UKDataZZAIAACA		a.n	0019.1131		0019.1131			
0					UKDataZZAIAAEZ		a.n	0019.1150		0019.1150			
0					UKDataZZAIAAEA		a.n	0019.1151		0019.1151			
0					UKDataZZAIAAEB		a.n	0019.1152		0019.1152			
0					GyroNTNumberOfSlicesPossB		a.n	0019.1153		0019.1153			
0					UKDataZZAIAAED		a.n	0019.1154		0019.1154			
0					UKDataZZAIAAEE		a.n	0019.1155		0019.1155			
0					UKDataZZAIAAEF		a.n	0019.1156		0019.1156			
0					UKDataZZAIAAEG		a.w	0019.1157		0019.1157			
0					UKDataZZAIAAEH		a.n	0019.1158		0019.1158			
0					UKDataZZAIAAEI		a.w	0019.1159		0019.1159			
0					UKDataZZAIAAFZ		a.n	0019.1160		0019.1160			
0					UKDataZZAIAAFA		a.n	0019.1161		0019.1161			
0					UKDataZZAIAAFB		a.n	0019.1162		0019.1162			
0					UKDataZZAIAAFC		a.n	0019.1163		0019.1163			
0					UKDataZZAIAAFD		a.n	0019.1164		0019.1164			
0					UKDataZZAIAAFG		a.w	0019.1166		0019.1166			
0					UKDataZZAIAAIZ		a.n	0019.1190		0019.1190			
0					UKDataZZAIAAIA		a.n	0019.1191		0019.1191			
0					UKDataZZAIAAIB		a.n	0019.1192		0019.1192			
0					UKDataZZAIAAIC		a.n	0019.1193		0019.1193			
0					UKDataZZAIAAID		a.w	0019.1194		0019.1194			
0					GyroNTMagneticFieldStrength		n	0019.1209		0019.1209			
0					UKDataZZAIABZN		n	0019.120E		0019.120E			
0					UKDataZZAIABKA		n	0019.12B1		0019.12B1			
0					UKDataZZAIABKB		n	0019.12B2		0019.12B2			
0					UKDataZZAIABKC		n	0019.12B3		0019.12B3			
0					UKDataZZAIABKD		a.n	0019.12B4		0019.12B4			
0					UKDataZZAIABKE		n	0019.12B5		0019.12B5			
0					UKDataZZAIABKF		n	0019.12B6		0019.12B6			
0					UKDataZZAIABKG		n	0019.12B7		0019.12B7			
0					UKDataZZAIABLF		n	0019.12C6		0019.12C6			
0					UKDataZZAIABLN		n	0019.12CE		0019.12CE			
0					UKDataZZAIABME		n	0019.12D5		0019.12D5			
2					GyroNTMRAcquisitionTypeNum		n	0019.12D6		0019.12D6			
0					GyroNTMRAcquisitionType	!['2D','3D']->[#GyroNTMRAcquisitionTypeNum:;0#]!	t	FF19.12D6		L.FORMULA			
0					UKDataZZAIABMI		a.n	0019.12D9		0019.12D9			
0					UKDataZZAIABNZ		n	0019.12E0		0019.12E0			
0					UKDataZZAIABNA		n	0019.12E1		0019.12E1			
0					UKDataZZAIABNB		n	0019.12E2		0019.12E2			
0					UKDataZZAIABNC		a.n	0019.12E3		0019.12E3			
0					UKDataZZAIABND		n	0019.12E4		0019.12E4			
0					UKDataZZAIABNE		n	0019.12E5		0019.12E5			
0					UKDataZZAIABOB		t	0019.12F2		0019.12F2			
0					UKDataZZAIABOC		t	0019.12F3		0019.12F3			
2					GyroNTPhaseEncodingDirection		t	0019.1312		0019.1312			
0					UKDataZZAIAEAZ		n	0019.1510		0019.1510			
0					UKDataZZAIAFZZ		n	0019.1600		0019.1600			
0					UKDataZZAIDZCB		w	0019.4032		0019.4032			
0					ImageGroupLength		l	0020.0000		0020.0000			
0	study_instance_uid	CHAR(64)			StudyInstanceUID		t	0020.000D	0020.000D		0020.000D	0020.000D	
0	series_instance_uid	CHAR(64)			SeriesInstanceUID		t	0020.000E	0020.000E		0020.000E	0020.000E	
0	study_id	INT	NOT NULL	prim_key	StudyID		n	0020.0010	0020.0010	0020.0010	0020.0010	0020.0010	
0	series_number	INT			SeriesNumber		n	0020.0011	0020.0011	0020.0011	0020.0011	0020.0011	
0	acquisition_number	INT			AcquisitionNumber		n	0020.0012	0020.0012	0020.0012	0020.0012	0020.0012	
0					InstanceNumber		n	0020.0013	0020.0013	0020.0013	0020.0013	0020.0013	
0					PatientOrientation		a.t	0020.0020		0020.0020			
0					ImagePosition		a.n	0020.0030		0020.0030			
1	image_position_patient	CHAR(32)			ImagePositionPatient		a.n	0020.0032	0020.0032		0020.0032	0020.0032	
0					ImageOrientation		a.n	0020.0035		0020.0035			
1					ImageOrientationPatient		a.n	0020.0037	0020.0037		0020.0037	0020.0037	
0					FrameOfReferenceUID		t	0020.0052	0020.0052		0020.0052	0020.0052	
0					TemporalPositionIdentifier		n	0020.0100	0020.0100	L0021.1050	0020.0100	0020.0100	
0	number_of_temporal_positions	INT			NumberOfTemporalPositions		n	0020.0105	0020.0105		0020.0105	0020.0105	
0					PositionReferenceIndicator		t	0020.1040	0020.1040		0020.1040	0020.1040	
					SliceLocation		n	0020.1041			0020.1041	0020.1041	
0					ModifiedImageID		t	0020.3402		0020.3402			
0					ModifiedImageDate		d	0020.3403		0020.3403			
0					ModifiedImageTime		h	0020.3405		0020.3405			
0					ImageComments		t	0020.4000	0020.4000				
0					PrivateGroupBLength		l	0021.0000		0021.0000			
0					PrivateCreatorNameRepA		t	0021.0010	0021.0010	0021.0010			
0					UKDataZZBAZZAA		t	0021.0011		0021.0011			
0					UKDataZZBAZZAB		t	0021.0012		0021.0012			
10					GyroNTSubSeriesNumber		n	0021.1000		0021.1000			
10					UKDataZZBAAZZE		n	0021.1005		0021.1005			
0					UKDataZZBAAZZF		t	0021.1006		0021.1006			
0					UKDataZZBAAZZG		t	0021.1007		0021.1007			
0					UKDataZZBAAZZH		t	0021.1008		0021.1008			
0					UKDataZZBAAZZI		t	0021.1009		0021.1009			
0					UKDataZZBAAZZJ		t	0021.100A		0021.100A			
0					GyroNTScanOptions		t	0021.100F		0021.100F			
0					UKDataZZBAAZAZ		n	0021.1010		0021.1010			
0					UKDataZZBAAZAC		t	0021.1013		0021.1013			
0					UKDataZZBAAZAD		t	0021.1014		0021.1014			
0					UKDataZZBAAZAE		w	0021.1015		0021.1015			
0					GyroNTSliceNumber		n	0021.1020		0021.1020			
0					UKDataZZBAAZCZ		n	0021.1030		0021.1030			
0					UKDataZZBAAZCA		n	0021.1031		0021.1031			
0					UKDataZZBAAZCE		n	0021.1035		0021.1035			
0					UKDataZZBAAZDZ		n	0021.1040		0021.1040			
0					GyroNTTemporalPositionIdentifier		n	0021.1050		0021.1050			
0					GyroNTSeriesDate		d	0021.1100		0021.1100			
10					GyroNTSeriesTime		h	0021.1110		0021.1110			
